,date,location,count,plate,sample,colour,image,coef,before event,after event,event,date_sample,label,medium,doy,week,d,year
38,2016-08-02,SVT,0.0,1,SVT1,med_blue,,100,False,True,False,"('2016-08-02', 'SVT1')",Coliform,EasyGel,215,31,2016-08-02,2016
39,2016-08-09,SVT,0.0,1,SVT1,med_blue,,100,False,True,False,"('2016-08-09', 'SVT1')",Coliform,EasyGel,222,32,2016-08-09,2016
40,2016-07-05,VNX,0.0,1,VNX1,med_blue,,100,False,False,True,"('2016-07-05', 'VNX1')",Coliform,EasyGel,187,27,2016-07-05,2016
41,2016-07-12,VNX,3.0,1,VNX1,med_blue,,100,False,False,True,"('2016-07-12', 'VNX1')",Coliform,EasyGel,194,28,2016-07-12,2016
42,2016-07-19,VNX,15.0,1,VNX1,med_blue,,100,False,True,False,"('2016-07-19', 'VNX1')",Coliform,EasyGel,201,29,2016-07-19,2016
43,2016-06-21,VNX,0.0,1,VNX1,med_blue,,100,True,False,False,"('2016-06-21', 'VNX1')",Coliform,EasyGel,173,25,2016-06-21,2016
44,2016-06-28,VNX,5.0,1,VNX1,med_blue,,100,True,False,False,"('2016-06-28', 'VNX1')",Coliform,EasyGel,180,26,2016-06-28,2016
45,2016-07-26,VNX,0.0,1,VNX1,med_blue,,100,False,True,False,"('2016-07-26', 'VNX1')",Coliform,EasyGel,208,30,2016-07-26,2016
46,2016-08-09,VNX,3.0,1,VNX1,med_blue,,100,False,True,False,"('2016-08-09', 'VNX1')",Coliform,EasyGel,222,32,2016-08-09,2016
47,2016-08-02,VNX,4.0,1,VNX1,med_blue,,100,False,True,False,"('2016-08-02', 'VNX1')",Coliform,EasyGel,215,31,2016-08-02,2016
48,2016-07-05,MRD,0.0,1,MRD1,other,,100,False,False,True,"('2016-07-05', 'MRD1')",Other,EasyGel,187,27,2016-07-05,2016
49,2016-07-12,MRD,37.0,1,MRD1,other,,100,False,False,True,"('2016-07-12', 'MRD1')",Other,EasyGel,194,28,2016-07-12,2016
50,2016-07-19,MRD,5.0,1,MRD1,other,,100,False,True,False,"('2016-07-19', 'MRD1')",Other,EasyGel,201,29,2016-07-19,2016
51,2016-06-21,MRD,0.0,1,MRD1,other,,100,True,False,False,"('2016-06-21', 'MRD1')",Other,EasyGel,173,25,2016-06-21,2016
52,2016-06-28,MRD,17.0,1,MRD1,other,,100,True,False,False,"('2016-06-28', 'MRD1')",Other,EasyGel,180,26,2016-06-28,2016
53,2016-07-26,MRD,2.0,1,MRD1,other,,100,False,True,False,"('2016-07-26', 'MRD1')",Other,EasyGel,208,30,2016-07-26,2016
