date,mm
2017-06-12,5.3
2017-06-13,2.6
2017-06-14,6.5
2017-06-15,3.7
2017-06-16,1.5
2017-06-17,0.0
2017-06-18,0.0
2017-06-19,1.2
2017-06-20,1.9
2017-06-21,5.3
2017-06-22,3.0
2017-06-23,5.7
2017-06-24,9.8
2017-06-25,8.0
2017-06-26,4.5
2017-06-27,6.9
2017-06-28,19.3
2017-06-29,6.3
2017-06-30,2.2
2017-07-01,5.6
2017-07-02,2.3
2017-07-03,0.3
2017-07-04,0.2
2017-07-05,0.3
2017-07-06,0.2
2017-07-07,1.0
2017-07-08,6.3
2017-07-09,8.3
2017-07-10,7.4
2017-07-11,2.1
2017-07-12,2.9
2017-07-13,0.8
2017-07-14,2.8
2017-07-15,0.3
2017-07-16,0.0
2017-07-17,1.5
2017-07-18,10.6
2017-07-19,5.0
2017-07-20,6.4
2017-07-21,13.2
2017-07-22,4.2
2017-07-23,3.9
2017-07-24,11.0
2017-07-25,10.5
2017-07-26,3.4
2017-07-27,2.0
2017-07-28,0.8
2017-07-29,3.8
2017-07-30,1.7
2017-07-31,4.1
