date,site,plate-number,category,count,week,is-jazz
2022-07-04,mrd,6,bioindicator,2,5,True
2022-07-06,vnx,1,bioindicator,0,5,True
2022-07-06,vnx,2,bioindicator,2,5,True
2022-07-06,vnx,3,bioindicator,0,5,True
2022-07-06,svt,1,bioindicator,0,5,True
2022-07-06,svt,2,bioindicator,0,5,True
2022-07-06,svt,3,bioindicator,0,5,True
2022-07-06,mrd,1,bioindicator,1,5,True
2022-07-06,mrd,2,bioindicator,0,5,True
2022-07-06,mrd,3,bioindicator,0,5,True
2022-07-08,vnx,1,bioindicator,0,5,True
2022-07-08,vnx,2,bioindicator,0,5,True
2022-07-08,vnx,3,bioindicator,0,5,True
2022-07-08,svt,1,bioindicator,0,5,True
2022-07-08,svt,2,bioindicator,0,5,True
2022-07-08,svt,3,bioindicator,0,5,True
2022-07-08,mrd,1,bioindicator,0,5,True
2022-07-08,mrd,2,bioindicator,0,5,True
2022-07-08,mrd,3,bioindicator,1,5,True
2022-07-10,vnx,1,bioindicator,1,5,True
2022-07-10,vnx,2,bioindicator,0,5,True
2022-07-10,vnx,3,bioindicator,1,5,True
2022-07-10,svt,1,bioindicator,0,5,True
2022-07-10,svt,2,bioindicator,0,5,True
2022-07-10,svt,3,bioindicator,0,5,True
2022-07-10,mrd,1,bioindicator,0,6,True
2022-07-10,mrd,2,bioindicator,0,6,True
2022-07-10,mrd,3,bioindicator,0,6,True
2022-07-11,vnx,1,bioindicator,0,6,True
2022-07-11,vnx,2,bioindicator,0,6,True
2022-07-11,vnx,3,bioindicator,0,6,True
2022-07-11,vnx,4,bioindicator,0,6,True
2022-07-11,vnx,5,bioindicator,0,6,True
2022-07-11,svt,1,bioindicator,0,6,True
2022-07-11,svt,2,bioindicator,0,6,True
2022-07-11,svt,3,bioindicator,0,6,True
2022-07-11,svt,4,bioindicator,1,6,True
2022-07-11,svt,5,bioindicator,0,6,True
2022-07-11,svt,6,bioindicator,0,6,True
2022-07-11,mrd,1,bioindicator,0,6,True
2022-07-11,mrd,2,bioindicator,0,6,True
2022-07-11,mrd,3,bioindicator,0,6,True
2022-07-11,mrd,4,bioindicator,0,6,True
2022-07-11,mrd,5,bioindicator,1,6,True
2022-07-11,mrd,6,bioindicator,0,6,True
2022-07-12,vnx,1,bioindicator,0,6,True
2022-07-12,vnx,2,bioindicator,0,6,True
2022-07-12,vnx,3,bioindicator,0,6,True
2022-07-12,svt,1,bioindicator,0,6,True
2022-07-12,svt,2,bioindicator,0,6,True
2022-07-12,svt,3,bioindicator,0,6,True
2022-07-12,mrd,1,bioindicator,0,6,True
2022-07-12,mrd,2,bioindicator,0,7,True
2022-07-12,mrd,3,bioindicator,0,7,True
2022-07-14,vnx,1,bioindicator,0,7,True
2022-07-14,vnx,2,bioindicator,0,7,True
2022-07-14,vnx,3,bioindicator,0,7,True
2022-07-14,svt,1,bioindicator,0,7,True
2022-07-14,svt,2,bioindicator,0,7,True
2022-07-14,svt,3,bioindicator,0,7,True
2022-07-14,mrd,1,bioindicator,0,7,True
2022-07-14,mrd,2,bioindicator,0,7,True
2022-07-14,mrd,3,bioindicator,0,7,True
2022-07-18,vnx,1,bioindicator,0,7,False
2022-07-18,vnx,4,bioindicator,0,7,False
2022-07-18,vnx,5,bioindicator,0,7,False
2022-07-18,svt,1,bioindicator,0,7,False
2022-07-18,svt,2,bioindicator,1,7,False
2022-07-18,svt,3,bioindicator,0,7,False
2022-07-18,svt,4,bioindicator,2,7,False
2022-07-18,svt,5,bioindicator,3,7,False
2022-07-18,svt,6,bioindicator,0,7,False
2022-07-18,mrd,1,bioindicator,2,7,False
2022-07-18,mrd,2,bioindicator,0,8,False
2022-07-18,mrd,3,bioindicator,0,8,False
2022-07-18,mrd,4,bioindicator,0,8,False
2022-07-18,mrd,5,bioindicator,0,8,False
2022-07-18,mrd,6,bioindicator,0,8,False
2022-07-25,vnx,1,bioindicator,0,8,False
2022-07-25,vnx,2,bioindicator,0,8,False
2022-07-25,vnx,3,bioindicator,0,8,False
2022-07-25,vnx,4,bioindicator,1,8,False
2022-07-25,vnx,5,bioindicator,0,8,False
2022-07-25,vnx,6,bioindicator,0,8,False
2022-07-25,svt,1,bioindicator,1,8,False
2022-07-25,svt,2,bioindicator,0,8,False
2022-07-25,svt,3,bioindicator,0,8,False
2022-07-25,svt,4,bioindicator,0,8,False
2022-07-25,svt,5,bioindicator,1,8,False
2022-07-25,svt,6,bioindicator,0,8,False
2022-07-25,mrd,1,bioindicator,1,8,False
2022-07-25,mrd,2,bioindicator,0,8,False
2022-07-25,mrd,3,bioindicator,0,8,False
2022-07-25,mrd,4,bioindicator,1,8,False
