date,location,replican,event,before event,after event,count,coef,per 100,label
2016-07-05,SVT,"('2016-07-05', 'SVT1')",True,False,False,1.0,250,250.0,Coliform
2016-07-12,SVT,"('2016-07-12', 'SVT1')",True,False,False,47.0,25,1175.0,Coliform
2016-07-19,SVT,"('2016-07-19', 'SVT1')",False,False,True,0.0,25,0.0,Coliform
2016-06-21,SVT,"('2016-06-21', 'SVT1')",False,True,False,0.0,100,0.0,Coliform
2016-06-28,SVT,"('2016-06-28', 'SVT1')",False,True,False,0.0,25,0.0,Coliform
2016-07-26,SVT,"('2016-07-26', 'SVT1')",False,False,True,0.0,25,0.0,Coliform
2016-08-02,SVT,"('2016-08-02', 'SVT1')",False,False,True,0.0,25,0.0,Coliform
2016-08-09,SVT,"('2016-08-09', 'SVT1')",False,False,True,0.0,25,0.0,Coliform
2016-07-05,VNX,"('2016-07-05', 'VNX1')",True,False,False,0.0,250,0.0,Coliform
2016-07-12,VNX,"('2016-07-12', 'VNX1')",True,False,False,3.0,25,75.0,Coliform
2016-07-19,VNX,"('2016-07-19', 'VNX1')",False,False,True,15.0,25,375.0,Coliform
2016-06-21,VNX,"('2016-06-21', 'VNX1')",False,True,False,0.0,100,0.0,Coliform
2016-06-28,VNX,"('2016-06-28', 'VNX1')",False,True,False,5.0,25,125.0,Coliform
2016-07-26,VNX,"('2016-07-26', 'VNX1')",False,False,True,0.0,25,0.0,Coliform
2016-08-09,VNX,"('2016-08-09', 'VNX1')",False,False,True,3.0,25,75.0,Coliform
2016-08-02,VNX,"('2016-08-02', 'VNX1')",False,False,True,4.0,25,100.0,Coliform
2016-07-05,MRD,"('2016-07-05', 'MRD1')",True,False,False,0.0,250,0.0,Other
2016-07-12,MRD,"('2016-07-12', 'MRD1')",True,False,False,37.0,25,925.0,Other
2016-07-19,MRD,"('2016-07-19', 'MRD1')",False,False,True,5.0,25,125.0,Other
2016-06-21,MRD,"('2016-06-21', 'MRD1')",False,True,False,0.0,100,0.0,Other
2016-06-28,MRD,"('2016-06-28', 'MRD1')",False,True,False,17.0,25,425.0,Other
2016-07-26,MRD,"('2016-07-26', 'MRD1')",False,False,True,2.0,25,50.0,Other
2016-08-02,MRD,"('2016-08-02', 'MRD1')",False,False,True,0.0,25,0.0,Other
2016-08-09,MRD,"('2016-08-09', 'MRD1')",False,False,True,2.0,25,50.0,Other
2016-07-05,SVT,"('2016-07-05', 'SVT1')",True,False,False,0.0,250,0.0,Other
2016-07-12,SVT,"('2016-07-12', 'SVT1')",True,False,False,29.0,25,725.0,Other
2016-07-19,SVT,"('2016-07-19', 'SVT1')",False,False,True,3.0,25,75.0,Other
2016-06-21,SVT,"('2016-06-21', 'SVT1')",False,True,False,0.0,100,0.0,Other
2016-06-28,SVT,"('2016-06-28', 'SVT1')",False,True,False,0.0,25,0.0,Other
2016-07-26,SVT,"('2016-07-26', 'SVT1')",False,False,True,150.0,25,3750.0,Other
2016-08-02,SVT,"('2016-08-02', 'SVT1')",False,False,True,1.0,25,25.0,Other
2016-08-09,SVT,"('2016-08-09', 'SVT1')",False,False,True,1.0,25,25.0,Other
2016-07-05,VNX,"('2016-07-05', 'VNX1')",True,False,False,0.0,250,0.0,Other
2016-07-12,VNX,"('2016-07-12', 'VNX1')",True,False,False,4.0,25,100.0,Other
2016-07-19,VNX,"('2016-07-19', 'VNX1')",False,False,True,4.0,25,100.0,Other
2016-06-21,VNX,"('2016-06-21', 'VNX1')",False,True,False,0.0,100,0.0,Other
2016-06-28,VNX,"('2016-06-28', 'VNX1')",False,True,False,0.0,25,0.0,Other
2016-07-26,VNX,"('2016-07-26', 'VNX1')",False,False,True,7.0,25,175.0,Other
2016-08-09,VNX,"('2016-08-09', 'VNX1')",False,False,True,2.0,25,50.0,Other
2016-08-02,VNX,"('2016-08-02', 'VNX1')",False,False,True,0.0,25,0.0,Other
2016-07-05,MRD,"('2016-07-05', 'MRD1')",True,False,False,0.0,250,0.0,Coliform
2016-07-12,MRD,"('2016-07-12', 'MRD1')",True,False,False,20.0,25,500.0,Coliform
2016-07-19,MRD,"('2016-07-19', 'MRD1')",False,False,True,1.0,25,25.0,Coliform
2016-06-21,MRD,"('2016-06-21', 'MRD1')",False,True,False,0.0,100,0.0,Coliform
2016-06-28,MRD,"('2016-06-28', 'MRD1')",False,True,False,10.0,25,250.0,Coliform
2016-07-26,MRD,"('2016-07-26', 'MRD1')",False,False,True,3.0,25,75.0,Coliform
2016-08-02,MRD,"('2016-08-02', 'MRD1')",False,False,True,1.0,25,25.0,Coliform
2016-08-09,MRD,"('2016-08-09', 'MRD1')",False,False,True,6.0,25,150.0,Coliform
2016-07-05,SVT,"('2016-07-05', 'SVT1')",True,False,False,2.0,250,500.0,Coliform
2016-07-12,SVT,"('2016-07-12', 'SVT1')",True,False,False,26.0,25,650.0,Coliform
2016-07-19,SVT,"('2016-07-19', 'SVT1')",False,False,True,7.0,25,175.0,Coliform
2016-06-21,SVT,"('2016-06-21', 'SVT1')",False,True,False,2.0,100,200.0,Coliform
2016-06-28,SVT,"('2016-06-28', 'SVT1')",False,True,False,2.0,25,50.0,Coliform
2016-07-26,SVT,"('2016-07-26', 'SVT1')",False,False,True,0.0,25,0.0,Coliform
2016-08-02,SVT,"('2016-08-02', 'SVT1')",False,False,True,0.0,25,0.0,Coliform
2016-08-09,SVT,"('2016-08-09', 'SVT1')",False,False,True,0.0,25,0.0,Coliform
2016-07-05,VNX,"('2016-07-05', 'VNX1')",True,False,False,0.0,250,0.0,Coliform
2016-07-12,VNX,"('2016-07-12', 'VNX1')",True,False,False,10.0,25,250.0,Coliform
2016-07-19,VNX,"('2016-07-19', 'VNX1')",False,False,True,2.0,25,50.0,Coliform
2016-06-21,VNX,"('2016-06-21', 'VNX1')",False,True,False,2.0,100,200.0,Coliform
2016-06-28,VNX,"('2016-06-28', 'VNX1')",False,True,False,8.0,25,200.0,Coliform
2016-07-26,VNX,"('2016-07-26', 'VNX1')",False,False,True,0.0,25,0.0,Coliform
2016-08-09,VNX,"('2016-08-09', 'VNX1')",False,False,True,0.0,25,0.0,Coliform
2016-08-02,VNX,"('2016-08-02', 'VNX1')",False,False,True,1.0,25,25.0,Coliform
2016-07-05,MRD,"('2016-07-05', 'MRD1')",True,False,False,0.0,250,0.0,Other
2016-07-12,MRD,"('2016-07-12', 'MRD1')",True,False,False,0.0,25,0.0,Other
2016-07-19,MRD,"('2016-07-19', 'MRD1')",False,False,True,1.0,25,25.0,Other
2016-06-21,MRD,"('2016-06-21', 'MRD1')",False,True,False,0.0,100,0.0,Other
2016-06-28,MRD,"('2016-06-28', 'MRD1')",False,True,False,1.0,25,25.0,Other
2016-07-26,MRD,"('2016-07-26', 'MRD1')",False,False,True,0.0,25,0.0,Other
2016-08-02,MRD,"('2016-08-02', 'MRD1')",False,False,True,0.0,25,0.0,Other
2016-08-09,MRD,"('2016-08-09', 'MRD1')",False,False,True,1.0,25,25.0,Other
2016-07-05,SVT,"('2016-07-05', 'SVT1')",True,False,False,0.0,250,0.0,Other
2016-07-12,SVT,"('2016-07-12', 'SVT1')",True,False,False,9.0,25,225.0,Other
2016-07-19,SVT,"('2016-07-19', 'SVT1')",False,False,True,0.0,25,0.0,Other
2016-06-21,SVT,"('2016-06-21', 'SVT1')",False,True,False,0.0,100,0.0,Other
2016-06-28,SVT,"('2016-06-28', 'SVT1')",False,True,False,0.0,25,0.0,Other
2016-07-26,SVT,"('2016-07-26', 'SVT1')",False,False,True,0.0,25,0.0,Other
2016-08-02,SVT,"('2016-08-02', 'SVT1')",False,False,True,0.0,25,0.0,Other
2016-08-09,SVT,"('2016-08-09', 'SVT1')",False,False,True,0.0,25,0.0,Other
2016-07-05,VNX,"('2016-07-05', 'VNX1')",True,False,False,0.0,250,0.0,Other
2016-07-12,VNX,"('2016-07-12', 'VNX1')",True,False,False,1.0,25,25.0,Other
2016-07-19,VNX,"('2016-07-19', 'VNX1')",False,False,True,1.0,25,25.0,Other
2016-06-21,VNX,"('2016-06-21', 'VNX1')",False,True,False,0.0,100,0.0,Other
2016-06-28,VNX,"('2016-06-28', 'VNX1')",False,True,False,1.0,25,25.0,Other
2016-07-26,VNX,"('2016-07-26', 'VNX1')",False,False,True,0.0,25,0.0,Other
2016-08-09,VNX,"('2016-08-09', 'VNX1')",False,False,True,1.0,25,25.0,Other
2016-08-02,VNX,"('2016-08-02', 'VNX1')",False,False,True,0.0,25,0.0,Other
2016-07-05,MRD,"('2016-07-05', 'MRD1')",True,False,False,0.4,250,100.0,Other
2016-07-12,MRD,"('2016-07-12', 'MRD1')",True,False,False,4.0,25,100.0,Other
2016-07-19,MRD,"('2016-07-19', 'MRD1')",False,False,True,4.0,25,100.0,Other
2016-06-21,MRD,"('2016-06-21', 'MRD1')",False,True,False,1.0,100,100.0,Other
2016-06-28,MRD,"('2016-06-28', 'MRD1')",False,True,False,4.0,25,100.0,Other
2016-07-26,MRD,"('2016-07-26', 'MRD1')",False,False,True,4.0,25,100.0,Other
2016-08-02,MRD,"('2016-08-02', 'MRD1')",False,False,True,4.0,25,100.0,Other
2016-08-09,MRD,"('2016-08-09', 'MRD1')",False,False,True,4.0,25,100.0,Other
2016-07-05,SVT,"('2016-07-05', 'SVT1')",True,False,False,0.4,250,100.0,Other
2016-07-12,SVT,"('2016-07-12', 'SVT1')",True,False,False,4.0,25,100.0,Other
2016-07-19,SVT,"('2016-07-19', 'SVT1')",False,False,True,4.0,25,100.0,Other
2016-06-21,SVT,"('2016-06-21', 'SVT1')",False,True,False,1.0,100,100.0,Other
2016-06-28,SVT,"('2016-06-28', 'SVT1')",False,True,False,4.0,25,100.0,Other
2016-07-26,SVT,"('2016-07-26', 'SVT1')",False,False,True,4.0,25,100.0,Other
2016-08-02,SVT,"('2016-08-02', 'SVT1')",False,False,True,4.0,25,100.0,Other
2016-08-09,SVT,"('2016-08-09', 'SVT1')",False,False,True,4.0,25,100.0,Other
2016-07-05,VNX,"('2016-07-05', 'VNX1')",True,False,False,0.4,250,100.0,Other
2016-07-12,VNX,"('2016-07-12', 'VNX1')",True,False,False,4.0,25,100.0,Other
2016-07-19,VNX,"('2016-07-19', 'VNX1')",False,False,True,4.0,25,100.0,Other
2016-06-21,VNX,"('2016-06-21', 'VNX1')",False,True,False,1.0,100,100.0,Other
2016-06-28,VNX,"('2016-06-28', 'VNX1')",False,True,False,4.0,25,100.0,Other
2016-07-26,VNX,"('2016-07-26', 'VNX1')",False,False,True,4.0,25,100.0,Other
2016-08-09,VNX,"('2016-08-09', 'VNX1')",False,False,True,4.0,25,100.0,Other
2016-08-02,VNX,"('2016-08-02', 'VNX1')",False,False,True,4.0,25,100.0,Other
2016-07-05,MRD,"('2016-07-05', 'MRD2')",True,False,False,0.0,250,0.0,Bioindicator
2016-07-12,MRD,"('2016-07-12', 'MRD2')",True,False,False,17.0,25,425.0,Bioindicator
2016-07-19,MRD,"('2016-07-19', 'MRD2')",False,False,True,16.0,25,400.0,Bioindicator
2016-06-21,MRD,"('2016-06-21', 'MRD2')",False,True,False,0.0,100,0.0,Bioindicator
2016-06-28,MRD,"('2016-06-28', 'MRD2')",False,True,False,0.0,25,0.0,Bioindicator
2016-07-26,MRD,"('2016-07-26', 'MRD2')",False,False,True,0.0,25,0.0,Bioindicator
2016-08-02,MRD,"('2016-08-02', 'MRD2')",False,False,True,1.0,25,25.0,Bioindicator
2016-08-09,MRD,"('2016-08-09', 'MRD2')",False,False,True,0.0,25,0.0,Bioindicator
2016-07-05,SVT,"('2016-07-05', 'SVT2')",True,False,False,0.0,250,0.0,Bioindicator
2016-07-12,SVT,"('2016-07-12', 'SVT2')",True,False,False,36.0,25,900.0,Bioindicator
2016-07-19,SVT,"('2016-07-19', 'SVT2')",False,False,True,15.0,25,375.0,Bioindicator
2016-06-21,SVT,"('2016-06-21', 'SVT2')",False,True,False,0.0,100,0.0,Bioindicator
2016-06-28,SVT,"('2016-06-28', 'SVT2')",False,True,False,0.0,25,0.0,Bioindicator
2016-07-26,SVT,"('2016-07-26', 'SVT2')",False,False,True,0.0,25,0.0,Bioindicator
2016-08-02,SVT,"('2016-08-02', 'SVT2')",False,False,True,0.0,25,0.0,Bioindicator
2016-08-09,SVT,"('2016-08-09', 'SVT2')",False,False,True,2.0,25,50.0,Bioindicator
