date,location,sample,date_sample,event,before event,after event,medium,label,count,coef,week,doy,year,color,image
2016-06-21,MRD,MRD1,"('2016-06-21', 'MRD1')",False,True,False,EasyGel,Other,1.0,100,25,173,2016,sample,none
2016-06-28,MRD,MRD1,"('2016-06-28', 'MRD1')",False,True,False,EasyGel,Other,4.0,25,26,180,2016,sample,none
2016-07-26,MRD,MRD1,"('2016-07-26', 'MRD1')",False,False,True,EasyGel,Other,4.0,25,30,208,2016,sample,none
2016-08-02,MRD,MRD1,"('2016-08-02', 'MRD1')",False,False,True,EasyGel,Other,4.0,25,31,215,2016,sample,none
2016-08-09,MRD,MRD1,"('2016-08-09', 'MRD1')",False,False,True,EasyGel,Other,4.0,25,32,222,2016,sample,none
2016-07-05,SVT,SVT1,"('2016-07-05', 'SVT1')",True,False,False,EasyGel,Other,0.4,250,27,187,2016,sample,none
2016-07-12,SVT,SVT1,"('2016-07-12', 'SVT1')",True,False,False,EasyGel,Other,4.0,25,28,194,2016,sample,none
2016-07-19,SVT,SVT1,"('2016-07-19', 'SVT1')",False,False,True,EasyGel,Other,4.0,25,29,201,2016,sample,none
2016-06-21,SVT,SVT1,"('2016-06-21', 'SVT1')",False,True,False,EasyGel,Other,1.0,100,25,173,2016,sample,none
2016-06-28,SVT,SVT1,"('2016-06-28', 'SVT1')",False,True,False,EasyGel,Other,4.0,25,26,180,2016,sample,none
2016-07-26,SVT,SVT1,"('2016-07-26', 'SVT1')",False,False,True,EasyGel,Other,4.0,25,30,208,2016,sample,none
2016-08-02,SVT,SVT1,"('2016-08-02', 'SVT1')",False,False,True,EasyGel,Other,4.0,25,31,215,2016,sample,none
2016-08-09,SVT,SVT1,"('2016-08-09', 'SVT1')",False,False,True,EasyGel,Other,4.0,25,32,222,2016,sample,none
2016-07-05,VNX,VNX1,"('2016-07-05', 'VNX1')",True,False,False,EasyGel,Other,0.4,250,27,187,2016,sample,none
2016-07-12,VNX,VNX1,"('2016-07-12', 'VNX1')",True,False,False,EasyGel,Other,4.0,25,28,194,2016,sample,none
2016-07-19,VNX,VNX1,"('2016-07-19', 'VNX1')",False,False,True,EasyGel,Other,4.0,25,29,201,2016,sample,none
2016-06-21,VNX,VNX1,"('2016-06-21', 'VNX1')",False,True,False,EasyGel,Other,1.0,100,25,173,2016,sample,none
2016-06-28,VNX,VNX1,"('2016-06-28', 'VNX1')",False,True,False,EasyGel,Other,4.0,25,26,180,2016,sample,none
2016-07-26,VNX,VNX1,"('2016-07-26', 'VNX1')",False,False,True,EasyGel,Other,4.0,25,30,208,2016,sample,none
2016-08-09,VNX,VNX1,"('2016-08-09', 'VNX1')",False,False,True,EasyGel,Other,4.0,25,32,222,2016,sample,none
2016-08-02,VNX,VNX1,"('2016-08-02', 'VNX1')",False,False,True,EasyGel,Other,4.0,25,31,215,2016,sample,none
2016-07-05,MRD,MRD2,"('2016-07-05', 'MRD2')",True,False,False,EasyGel,Bioindicator,0.0,250,27,187,2016,big_blue,none
2016-07-12,MRD,MRD2,"('2016-07-12', 'MRD2')",True,False,False,EasyGel,Bioindicator,17.0,25,28,194,2016,big_blue,none
2016-07-19,MRD,MRD2,"('2016-07-19', 'MRD2')",False,False,True,EasyGel,Bioindicator,16.0,25,29,201,2016,big_blue,none
2016-06-21,MRD,MRD2,"('2016-06-21', 'MRD2')",False,True,False,EasyGel,Bioindicator,0.0,100,25,173,2016,big_blue,none
2016-06-28,MRD,MRD2,"('2016-06-28', 'MRD2')",False,True,False,EasyGel,Bioindicator,0.0,25,26,180,2016,big_blue,none
2016-07-26,MRD,MRD2,"('2016-07-26', 'MRD2')",False,False,True,EasyGel,Bioindicator,0.0,25,30,208,2016,big_blue,none
2016-08-02,MRD,MRD2,"('2016-08-02', 'MRD2')",False,False,True,EasyGel,Bioindicator,1.0,25,31,215,2016,big_blue,none
2016-08-09,MRD,MRD2,"('2016-08-09', 'MRD2')",False,False,True,EasyGel,Bioindicator,0.0,25,32,222,2016,big_blue,none
2016-07-05,SVT,SVT2,"('2016-07-05', 'SVT2')",True,False,False,EasyGel,Bioindicator,0.0,250,27,187,2016,big_blue,none
2016-07-12,SVT,SVT2,"('2016-07-12', 'SVT2')",True,False,False,EasyGel,Bioindicator,36.0,25,28,194,2016,big_blue,none
2016-07-19,SVT,SVT2,"('2016-07-19', 'SVT2')",False,False,True,EasyGel,Bioindicator,15.0,25,29,201,2016,big_blue,none
2016-06-21,SVT,SVT2,"('2016-06-21', 'SVT2')",False,True,False,EasyGel,Bioindicator,0.0,100,25,173,2016,big_blue,none
2016-06-28,SVT,SVT2,"('2016-06-28', 'SVT2')",False,True,False,EasyGel,Bioindicator,0.0,25,26,180,2016,big_blue,none
2016-07-26,SVT,SVT2,"('2016-07-26', 'SVT2')",False,False,True,EasyGel,Bioindicator,0.0,25,30,208,2016,big_blue,none
2016-08-02,SVT,SVT2,"('2016-08-02', 'SVT2')",False,False,True,EasyGel,Bioindicator,0.0,25,31,215,2016,big_blue,none
2016-08-09,SVT,SVT2,"('2016-08-09', 'SVT2')",False,False,True,EasyGel,Bioindicator,2.0,25,32,222,2016,big_blue,none
2016-07-05,VNX,VNX2,"('2016-07-05', 'VNX2')",True,False,False,EasyGel,Bioindicator,0.0,250,27,187,2016,big_blue,none
2016-07-12,VNX,VNX2,"('2016-07-12', 'VNX2')",True,False,False,EasyGel,Bioindicator,2.0,25,28,194,2016,big_blue,none
2016-07-19,VNX,VNX2,"('2016-07-19', 'VNX2')",False,False,True,EasyGel,Bioindicator,11.0,25,29,201,2016,big_blue,none
2016-06-21,VNX,VNX2,"('2016-06-21', 'VNX2')",False,True,False,EasyGel,Bioindicator,0.0,100,25,173,2016,big_blue,none
2016-06-28,VNX,VNX2,"('2016-06-28', 'VNX2')",False,True,False,EasyGel,Bioindicator,0.0,25,26,180,2016,big_blue,none
2016-07-26,VNX,VNX2,"('2016-07-26', 'VNX2')",False,False,True,EasyGel,Bioindicator,0.0,25,30,208,2016,big_blue,none
2016-08-09,VNX,VNX2,"('2016-08-09', 'VNX2')",False,False,True,EasyGel,Bioindicator,13.0,25,32,222,2016,big_blue,none
2016-08-02,VNX,VNX2,"('2016-08-02', 'VNX2')",False,False,True,EasyGel,Bioindicator,2.0,25,31,215,2016,big_blue,none
2016-07-05,MRD,MRD2,"('2016-07-05', 'MRD2')",True,False,False,EasyGel,Coliform,1.0,250,27,187,2016,med_blue,none
2016-07-12,MRD,MRD2,"('2016-07-12', 'MRD2')",True,False,False,EasyGel,Coliform,3.0,25,28,194,2016,med_blue,none
