date,location,sample,date_sample,event,before event,after event,medium,label,count,coef,week,doy,year,color,image
26.07.16,SVT,SVT2,"('2016-07-26', 'SVT2')",FALSE,FALSE,TRUE,EasyGel,Bioindicator,0,25,30,208,2016,big_blue,none
02.08.16,SVT,SVT2,"('2016-08-02', 'SVT2')",FALSE,FALSE,TRUE,EasyGel,Bioindicator,0,25,31,215,2016,big_blue,none
09.08.16,SVT,SVT2,"('2016-08-09', 'SVT2')",FALSE,FALSE,TRUE,EasyGel,Bioindicator,2,25,32,222,2016,big_blue,none
05.07.16,VNX,VNX2,"('2016-07-05', 'VNX2')",TRUE,FALSE,FALSE,EasyGel,Bioindicator,0,250,27,187,2016,big_blue,none
12.07.16,VNX,VNX2,"('2016-07-12', 'VNX2')",TRUE,FALSE,FALSE,EasyGel,Bioindicator,2,25,28,194,2016,big_blue,none
19.07.16,VNX,VNX2,"('2016-07-19', 'VNX2')",FALSE,FALSE,TRUE,EasyGel,Bioindicator,11,25,29,201,2016,big_blue,none
21.06.16,VNX,VNX2,"('2016-06-21', 'VNX2')",FALSE,TRUE,FALSE,EasyGel,Bioindicator,0,100,25,173,2016,big_blue,none
28.06.16,VNX,VNX2,"('2016-06-28', 'VNX2')",FALSE,TRUE,FALSE,EasyGel,Bioindicator,0,25,26,180,2016,big_blue,none
26.07.16,VNX,VNX2,"('2016-07-26', 'VNX2')",FALSE,FALSE,TRUE,EasyGel,Bioindicator,0,25,30,208,2016,big_blue,none
09.08.16,VNX,VNX2,"('2016-08-09', 'VNX2')",FALSE,FALSE,TRUE,EasyGel,Bioindicator,13,25,32,222,2016,big_blue,none
02.08.16,VNX,VNX2,"('2016-08-02', 'VNX2')",FALSE,FALSE,TRUE,EasyGel,Bioindicator,2,25,31,215,2016,big_blue,none
05.07.16,MRD,MRD2,"('2016-07-05', 'MRD2')",TRUE,FALSE,FALSE,EasyGel,Coliform,1,250,27,187,2016,med_blue,none
12.07.16,MRD,MRD2,"('2016-07-12', 'MRD2')",TRUE,FALSE,FALSE,EasyGel,Coliform,3,25,28,194,2016,med_blue,none
19.07.16,MRD,MRD2,"('2016-07-19', 'MRD2')",FALSE,FALSE,TRUE,EasyGel,Coliform,7,25,29,201,2016,med_blue,none
21.06.16,MRD,MRD2,"('2016-06-21', 'MRD2')",FALSE,TRUE,FALSE,EasyGel,Coliform,2,100,25,173,2016,med_blue,none
28.06.16,MRD,MRD2,"('2016-06-28', 'MRD2')",FALSE,TRUE,FALSE,EasyGel,Coliform,0,25,26,180,2016,med_blue,none
26.07.16,MRD,MRD2,"('2016-07-26', 'MRD2')",FALSE,FALSE,TRUE,EasyGel,Coliform,0,25,30,208,2016,med_blue,none
02.08.16,MRD,MRD2,"('2016-08-02', 'MRD2')",FALSE,FALSE,TRUE,EasyGel,Coliform,1,25,31,215,2016,med_blue,none
09.08.16,MRD,MRD2,"('2016-08-09', 'MRD2')",FALSE,FALSE,TRUE,EasyGel,Coliform,0,25,32,222,2016,med_blue,none
05.07.16,SVT,SVT2,"('2016-07-05', 'SVT2')",TRUE,FALSE,FALSE,EasyGel,Coliform,0,250,27,187,2016,med_blue,none
12.07.16,SVT,SVT2,"('2016-07-12', 'SVT2')",TRUE,FALSE,FALSE,EasyGel,Coliform,26,25,28,194,2016,med_blue,none
19.07.16,SVT,SVT2,"('2016-07-19', 'SVT2')",FALSE,FALSE,TRUE,EasyGel,Coliform,0,25,29,201,2016,med_blue,none
21.06.16,SVT,SVT2,"('2016-06-21', 'SVT2')",FALSE,TRUE,FALSE,EasyGel,Coliform,0,100,25,173,2016,med_blue,none
28.06.16,SVT,SVT2,"('2016-06-28', 'SVT2')",FALSE,TRUE,FALSE,EasyGel,Coliform,1,25,26,180,2016,med_blue,none
26.07.16,SVT,SVT2,"('2016-07-26', 'SVT2')",FALSE,FALSE,TRUE,EasyGel,Coliform,0,25,30,208,2016,med_blue,none
